ProductKey,OrderDateKey,DueDateKey,ShipDateKey,ResellerKey,EmployeeKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
349,20101229,20110110,20110105,676,285,1,100,5,SO43659,1,1,1,2024.994,2024.994,0,0,1898.0944,1898.0944,2024.994,161.9995,50.6249,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
350,20101229,20110110,20110105,676,285,1,100,5,SO43659,2,1,3,2024.994,6074.982,0,0,1898.0944,5694.2832,6074.982,485.9986,151.8746,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
351,20101229,20110110,20110105,676,285,1,100,5,SO43659,3,1,1,2024.994,2024.994,0,0,1898.0944,1898.0944,2024.994,161.9995,50.6249,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
344,20101229,20110110,20110105,676,285,1,100,5,SO43659,4,1,1,2039.994,2039.994,0,0,1912.1544,1912.1544,2039.994,163.1995,50.9999,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
345,20101229,20110110,20110105,676,285,1,100,5,SO43659,5,1,1,2039.994,2039.994,0,0,1912.1544,1912.1544,2039.994,163.1995,50.9999,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
346,20101229,20110110,20110105,676,285,1,100,5,SO43659,6,1,2,2039.994,4079.988,0,0,1912.1544,3824.3088,4079.988,326.399,101.9997,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
347,20101229,20110110,20110105,676,285,1,100,5,SO43659,7,1,1,2039.994,2039.994,0,0,1912.1544,1912.1544,2039.994,163.1995,50.9999,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
229,20101229,20110110,20110105,676,285,1,100,5,SO43659,8,1,3,28.8404,86.5212,0,0,31.7244,95.1732,86.5212,6.9217,2.163,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
235,20101229,20110110,20110105,676,285,1,100,5,SO43659,9,1,1,28.8404,28.8404,0,0,31.7244,31.7244,28.8404,2.3072,0.721,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
218,20101229,20110110,20110105,676,285,1,100,5,SO43659,10,1,6,5.7,34.2,0,0,3.3963,20.3778,34.2,2.736,0.855,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
223,20101229,20110110,20110105,676,285,1,100,5,SO43659,11,1,2,5.1865,10.373,0,0,5.7052,11.4104,10.373,0.8298,0.2593,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
220,20101229,20110110,20110105,676,285,1,100,5,SO43659,12,1,4,20.1865,80.746,0,0,12.0278,48.1112,80.746,6.4597,2.0187,4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
326,20101229,20110110,20110105,117,285,1,100,5,SO43660,1,1,1,419.4589,419.4589,0,0,413.1463,413.1463,419.4589,33.5567,10.4865,6431-4D57-83,PO18850127500,00:00.0,00:00.0,00:00.0
319,20101229,20110110,20110105,117,285,1,100,5,SO43660,2,1,1,874.794,874.794,0,0,884.7083,884.7083,874.794,69.9835,21.8699,6431-4D57-83,PO18850127500,00:00.0,00:00.0,00:00.0
300,20101229,20110110,20110105,442,288,1,19,6,SO43661,1,1,1,809.76,809.76,0,0,699.0928,699.0928,809.76,64.7808,20.244,4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
296,20101229,20110110,20110105,442,288,1,19,6,SO43661,2,1,1,714.7043,714.7043,0,0,617.0281,617.0281,714.7043,57.1763,17.8676,4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
304,20101229,20110110,20110105,442,288,1,19,6,SO43661,3,1,2,714.7043,1429.4086,0,0,617.0281,1234.0562,1429.4086,114.3527,35.7352,4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
223,20101229,20110110,20110105,442,288,1,19,6,SO43661,4,1,4,5.1865,20.746,0,0,5.7052,22.8208,20.746,1.6597,0.5187,4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
232,20101229,20110110,20110105,442,288,1,19,6,SO43661,5,1,4,28.8404,115.3616,0,0,31.7244,126.8976,115.3616,9.2289,2.884,4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
293,20101229,20110110,20110105,442,288,1,19,6,SO43661,6,1,2,722.5949,1445.1898,0,0,623.8403,1247.6806,1445.1898,115.6152,36.1297,4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
348,20101229,20110110,20110105,442,288,1,19,6,SO43661,7,1,3,2024.994,6074.982,0,0,1898.0944,5694.2832,6074.982,485.9986,151.8746,4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
351,20101229,20110110,20110105,442,288,1,19,6,SO43661,8,1,2,2024.994,4049.988,0,0,1898.0944,3796.1888,4049.988,323.999,101.2497,4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
220,20101229,20110110,20110105,442,288,1,19,6,SO43661,9,1,2,20.1865,40.373,0,0,12.0278,24.0556,40.373,3.2298,1.0093,4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
292,20101229,20110110,20110105,442,288,1,19,6,SO43661,10,1,2,818.7,1637.4,0,0,706.811,1413.622,1637.4,130.992,40.935,4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
349,20101229,20110110,20110105,442,288,1,19,6,SO43661,11,1,4,2024.994,8099.976,0,0,1898.0944,7592.3776,8099.976,647.9981,202.4994,4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
